Current value: 6.046567465742375, Current params: {'in_len': 192, 'p': 7, 'd': 8, 'q': 5}
Best value: 6.046567465742375, Best params: {'in_len': 192, 'p': 7, 'd': 8, 'q': 5}Current value: 9.130687725114663, Current params: {'in_len': 144, 'p': 8, 'd': 8, 'q': 6}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.07852923690032455, Current params: {'in_len': 120, 'p': 2, 'd': 1, 'q': 7}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.09799826131153488, Current params: {'in_len': 120, 'p': 1, 'd': 2, 'q': 8}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 1.512442157914841, Current params: {'in_len': 108, 'p': 1, 'd': 6, 'q': 7}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.0769487990347242, Current params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 6}
Best value: 0.0769487990347242, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 6}Current value: 0.0769487990347242, Current params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 6}
Best value: 0.0769487990347242, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 6}Current value: 0.07509157471170734, Current params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.07509157471170734, Current params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.1007185492783061, Current params: {'in_len': 96, 'p': 2, 'd': 2, 'q': 5}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.07509157471170734, Current params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.07509157471170734, Current params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.1007185492783061, Current params: {'in_len': 96, 'p': 2, 'd': 2, 'q': 5}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.12648416623383268, Current params: {'in_len': 108, 'p': 2, 'd': 3, 'q': 5}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 4.296298801092223, Current params: {'in_len': 120, 'p': 3, 'd': 7, 'q': 5}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.07767387585943585, Current params: {'in_len': 120, 'p': 2, 'd': 1, 'q': 5}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.0769487990347242, Current params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 6}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.07509157471170734, Current params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.45766358735068735, Current params: {'in_len': 96, 'p': 3, 'd': 5, 'q': 5}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.07596107858512428, Current params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 4}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.10819213623037116, Current params: {'in_len': 108, 'p': 2, 'd': 2, 'q': 4}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.07554119682131179, Current params: {'in_len': 120, 'p': 3, 'd': 1, 'q': 4}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.10316812437168009, Current params: {'in_len': 120, 'p': 3, 'd': 2, 'q': 4}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.07584806534353356, Current params: {'in_len': 120, 'p': 2, 'd': 1, 'q': 3}
Best value: 0.07509157471170734, Best params: {'in_len': 108, 'p': 2, 'd': 1, 'q': 5}Current value: 0.07494802149924928, Current params: {'in_len': 120, 'p': 3, 'd': 1, 'q': 3}
Best value: 0.07494802149924928, Best params: {'in_len': 120, 'p': 3, 'd': 1, 'q': 3}Current value: 0.07494802149924928, Current params: {'in_len': 120, 'p': 3, 'd': 1, 'q': 3}
Best value: 0.07494802149924928, Best params: {'in_len': 120, 'p': 3, 'd': 1, 'q': 3}Current value: 0.07494802149924928, Current params: {'in_len': 120, 'p': 3, 'd': 1, 'q': 3}
Best value: 0.07494802149924928, Best params: {'in_len': 120, 'p': 3, 'd': 1, 'q': 3}Current value: 0.07494802149924928, Current params: {'in_len': 120, 'p': 3, 'd': 1, 'q': 3}
Best value: 0.07494802149924928, Best params: {'in_len': 120, 'p': 3, 'd': 1, 'q': 3}Current value: 0.07494802149924928, Current params: {'in_len': 120, 'p': 3, 'd': 1, 'q': 3}
Best value: 0.07494802149924928, Best params: {'in_len': 120, 'p': 3, 'd': 1, 'q': 3}
